PID,Type,Arrival,Burst
1,HEAVY_CPU,0,55
2,HEAVY_CPU,0,50
3,LIGHT_IO,1,5
4,HEAVY_CPU,1,41
5,HEAVY_CPU,3,58
6,LIGHT_IO,5,6
7,LIGHT_IO,5,3
8,LIGHT_IO,6,3
9,HEAVY_CPU,6,55
10,LIGHT_IO,6,5
11,HEAVY_CPU,7,54
12,LIGHT_IO,11,4
13,LIGHT_IO,14,3
14,LIGHT_IO,14,3
15,LIGHT_IO,15,4
16,HEAVY_CPU,23,59
17,LIGHT_IO,23,5
18,LIGHT_IO,30,1
19,LIGHT_IO,30,3
20,LIGHT_IO,35,4
21,LIGHT_IO,37,7
22,HEAVY_CPU,37,54
23,LIGHT_IO,37,4
24,LIGHT_IO,40,4
25,LIGHT_IO,40,2
26,HEAVY_CPU,40,33
27,LIGHT_IO,45,5
28,LIGHT_IO,46,3
29,HEAVY_CPU,46,63
30,LIGHT_IO,46,2
31,LIGHT_IO,47,3
32,LIGHT_IO,48,4
33,LIGHT_IO,48,4
34,LIGHT_IO,48,5
35,LIGHT_IO,54,4
36,LIGHT_IO,55,5
37,LIGHT_IO,55,9
38,LIGHT_IO,63,9
39,LIGHT_IO,64,4
40,LIGHT_IO,64,1
41,LIGHT_IO,66,5
42,LIGHT_IO,68,5
43,LIGHT_IO,68,4
44,LIGHT_IO,76,5
45,LIGHT_IO,76,4
46,LIGHT_IO,78,6
47,LIGHT_IO,78,4
48,LIGHT_IO,78,2
49,LIGHT_IO,83,6
50,LIGHT_IO,84,6
51,HEAVY_CPU,86,49
52,HEAVY_CPU,87,20
53,HEAVY_CPU,88,59
54,LIGHT_IO,91,3
55,LIGHT_IO,91,5
56,HEAVY_CPU,94,42
57,LIGHT_IO,97,1
58,LIGHT_IO,99,3
59,LIGHT_IO,101,8
60,LIGHT_IO,103,4
61,LIGHT_IO,106,7
62,LIGHT_IO,108,6
63,LIGHT_IO,108,5
64,LIGHT_IO,108,6
65,LIGHT_IO,109,8
66,LIGHT_IO,109,6
67,HEAVY_CPU,110,57
68,HEAVY_CPU,111,39
69,LIGHT_IO,111,9
